frame_idx,row_index,along_track_m,height_m,he_gt_deg,lat_gt_m,he_est_deg,lat_est_m,he_err_deg,lat_err_m,d_he_deg,d_lat_m,d_he_raw_deg,d_lat_raw_m,init
0,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,0.0,0.0,-4.565237558444466,98.92486854217277,0.0,0.0,0.0,0.0,True
1,1,5742.927984459016,300.5625283394437,1.762314558444456,-22.959032195738715,1.7622921359011343,153.66368331680988,-2.242254332163185e-05,176.6227155125486,-1.7622921359011343,-153.66368331680988,-1.7622921359011343,-153.66368331680988,False
2,2,5565.366650519464,317.4128943394437,1.971110558444466,141.05815780226948,1.971110200391962,161.33988022628333,-3.580525038682225e-07,20.28172242401385,-0.20881806449082774,-7.676196909473447,-0.20881806449082774,-7.676196909473447,False
3,3,5176.84330015462,311.3188853394437,-6.089320441555541,-213.8542278375472,-6.089013072192699,-937.3594716017091,0.00030736936284192495,-723.5052437641618,8.060123272584661,1098.6993518279924,8.060123272584661,1098.6993518279924,False
4,4,4979.078927066569,276.7482723394437,3.0807655584444826,-29.975394393601775,3.0809395511606965,763.6863063932616,0.00017399271621387769,793.6617007868633,-9.169952623353396,-1701.0457779949706,-9.169952623353396,-1701.0457779949706,False
5,5,4910.912306945622,294.4608183394437,4.937291558444473,53.164364946983,4.937167943170834,212.22183469648337,-0.0001236152736385776,159.05746974950037,-1.856228392010138,551.4644716967782,-1.856228392010138,551.4644716967782,False
6,6,4807.047720222587,287.06907233944366,-2.529648441555533,40.16793467144851,-2.529860022234004,-584.791297615481,-0.00021158067847126816,-624.9592322869295,7.467027965404839,797.0131323119643,7.467027965404839,797.0131323119643,False
7,7,4726.594082977713,252.22962533944371,-0.5499374415555012,-226.65809690485517,-0.5499521810073702,-63.21355300519372,-1.473945186902803e-05,163.44454389966145,-1.979907841226634,-521.5777446102873,-1.979907841226634,-521.5777446102873,False
8,8,4640.027023735848,221.8944813394437,0.12433555844448305,65.22249531509195,0.12434114018904552,119.82168410555778,5.5817445624717354e-06,54.59918879046583,-0.6742933211964157,-183.0352371107515,-0.6742933211964157,-183.0352371107515,False
9,9,4597.05709802662,266.4579363394437,1.2825045584445243,-147.97894153327664,1.2825158113324164,-55.03258138695256,1.125288789216583e-05,92.94636014632408,-1.158174671143371,174.85426549251034,-1.158174671143371,174.85426549251034,False
10,10,4435.6800882995285,238.6237283394437,3.256933558444535,-24.712904050474954,3.2569632195560985,128.12446275767948,2.966111156332829e-05,152.83736680815443,-1.974447408223682,-183.15704414463204,-1.974447408223682,-183.15704414463204,False
11,11,4299.910242047209,270.04277533944366,-6.071705441555532,274.285852068143,-6.0726266570777625,-426.3258798420268,-0.0009212155222302343,-700.6117319101697,9.329589876633861,554.4503425997062,9.329589876633861,554.4503425997062,False
12,12,3955.005668294659,176.19870433944368,5.307468558444513,26.55495925155763,5.306817724524933,805.8785707369493,-0.000650833919579874,779.3236114853917,-11.379444381602696,-1232.204450578976,-11.379444381602696,-1232.204450578976,False
13,13,3917.910129833741,216.27774633944364,-7.820275441555519,-44.984518476238215,-7.819712865100996,-932.95635506297,0.0005625764545227341,-887.9718365867318,13.12653058962593,1738.8349257999193,13.12653058962593,1738.8349257999193,False
14,14,3518.9385419033815,205.82017033944373,-3.035445441555447,-25.848923176561083,-3.0354125608890286,267.7098524458611,3.288066641848886e-05,293.55877562242216,-4.784300304211968,-1200.6662075088311,-4.784300304211968,-1200.6662075088311,False
15,15,3209.886283731933,174.20831433944363,-1.3691144415554781,4.987755228685005,-1.3691203006597163,98.32288701697394,-5.859104238226109e-06,93.33513178828893,-1.6662922602293122,169.38696542888715,-1.6662922602293122,169.38696542888715,False
16,16,2826.626055985027,176.54201933944364,-0.2849914415554512,-106.15864348135521,-0.2849924482415247,-52.65845170399115,-1.006686073501406e-06,53.500191777364066,-1.0841278524181917,150.98133872096508,-1.0841278524181917,150.98133872096508,False
17,17,2811.314032383059,201.74838333944365,1.69650455844454,57.89536949411933,1.6964849167268312,155.06245639343302,-1.9641717708740458e-05,97.16708689931369,-1.981477364968356,-207.72090809742417,-1.981477364968356,-207.72090809742417,False
18,18,2553.280732459901,156.01191033944372,1.7933445584445065,49.224372669000765,1.7933538525020083,53.540562148847414,9.294057501829656e-06,4.316189479846649,-0.09686893577517708,101.52189424458561,-0.09686893577517708,101.52189424458561,False
19,19,2512.8361069744237,149.00899633944368,5.658543558444544,58.95839758382066,5.6584168107515325,228.19408612463621,-0.00012674769301135314,169.23568854081554,-3.865062958249524,-174.6535239757888,-3.865062958249524,-174.6535239757888,False
20,20,2412.647508360402,138.98791033944372,10.980126558444493,-137.32304436222265,10.980414013768097,87.03814576566324,0.0002874553236047461,224.3611901278859,-5.321997203016565,141.15594035897297,-5.321997203016565,141.15594035897297,False
21,21,2293.3833137070255,166.5032253394437,1.2484985584445132,2.116865623602407,1.2485411404446438,-385.4956788000935,4.258200013063096e-05,-387.6125444236959,9.731872873323454,472.53382456575673,9.731872873323454,472.53382456575673,False
22,22,1737.6621024137887,98.78111733944365,-2.1003854415554963,16.77431782540574,-2.100342452768075,-84.76404077393659,4.298878742137191e-05,-101.53835859934233,3.348883593212719,-300.73163802615693,3.348883593212719,-300.73163802615693,False
23,23,1560.7096372043354,107.37621333944367,3.537538558444493,95.19754457532382,3.537245320922011,248.0155031328959,-0.0002932375224817818,152.81795855757207,-5.637587773690086,-332.7795439068325,-5.637587773690086,-332.7795439068325,False
24,24,1320.1128153159796,73.9632833394437,1.9331105584444372,-28.495670935158252,1.933074539050125,-65.43645753483747,-3.601939431230328e-05,-36.94078659967922,1.6041707818718862,313.4519606677334,1.6041707818718862,313.4519606677334,False
25,25,1287.7827180578097,79.12865233944365,0.30911555844454314,68.65986301989663,0.30909854710006357,32.13788645973992,-1.7011344479567203e-05,-36.521976560156716,1.6239759919500614,-97.57434399457739,1.6239759919500614,-97.57434399457739,False
26,26,1037.2526373865712,57.91891733944374,-7.956711441555516,63.10262291036745,-7.957447061238582,-86.6694860573206,-0.0007356196830663464,-149.77210896768804,8.266545608338646,118.80737251706051,8.266545608338646,118.80737251706051,False
27,27,919.5996835510979,67.03917533944366,4.188639558444507,45.65980843144796,4.1876864731278545,238.00179373017673,-0.0009530853166523912,192.34198529872876,-12.145133534366437,-324.6712797874973,-12.145133534366437,-324.6712797874973,False
28,28,668.6212680812915,50.53453033944368,-8.240835441555518,-26.06403128162125,-8.240124145953871,-169.26864528052337,0.0007112956016470662,-143.20461399890212,12.427810619081725,407.2704390107001,12.427810619081725,407.2704390107001,False
29,29,347.0205138533829,32.247186339443715,-1.3248574415555177,11.78591956596462,-1.325045173615166,53.46824020032639,-0.00018773205964839335,41.68232063436177,-6.915078972338705,-222.73688548084976,-6.915078972338705,-222.73688548084976,False
