frame_idx,row_index,along_track_m,height_m,he_gt_deg,lat_gt_m,he_est_deg,lat_est_m,he_err_deg,lat_err_m,d_he_deg,d_lat_m,d_he_raw_deg,d_lat_raw_m,init
0,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,4.565237558444466,-98.92486854217277,0.0,0.0,0.0,0.0,0.0,0.0,True
1,1,5742.927984459016,300.5625283394437,1.762314558444456,-22.959032195738715,1.7623553856510918,-22.59194862856775,4.082720663589612e-05,0.36708356717096535,2.8028821727933746,-76.33291991360502,2.8028821727933746,204.8326980613052,False
2,2,5565.366650519464,317.4128943394437,1.971110558444466,141.05815780226948,1.9711146137846365,141.05393618955566,4.055340170561195e-06,-0.004221612713820377,-0.20875922813354464,-163.64588481812342,-0.20875922813354464,-183.9235875973026,False
3,3,5176.84330015462,311.3188853394437,-6.089320441555541,-213.8542278375472,-6.088968773297068,-204.25075080385682,0.00035166825847365857,9.603477033690382,8.060083387081704,345.3046869934125,8.060083387081704,1078.3993218769817,False
4,4,4979.078927066569,276.7482723394437,3.0807655584444826,-29.975394393601775,3.080813876840325,-40.06302545746371,4.8318395842184e-05,-10.087631063861934,-9.169782650137392,-164.1877253463931,-9.169782650137392,-967.9279590480742,False
5,5,4910.912306945622,294.4608183394437,4.937291558444473,53.164364946983,4.937300783175574,53.045685721470846,9.224731100765382e-06,-0.11867922551215315,-1.856486906335249,-93.10871117893456,-1.856486906335249,-252.28686367827518,False
6,6,4807.047720222587,287.06907233944366,-2.529648441555533,40.16793467144851,-2.5299339088565196,45.27030024699175,-0.00028546730098666373,5.102365575543239,7.467234692032093,7.775385474479094,7.467234692032093,637.8388175447318,False
7,7,4726.594082977713,252.22962533944371,-0.5499374415555012,-226.65809690485517,-0.5499037402946376,-226.62487813757977,3.3701260863550075e-05,0.033218767275400296,-1.980030168561882,271.8951783845715,-1.980030168561882,108.48826870550675,False
8,8,4640.027023735848,221.8944813394437,0.12433555844448305,65.22249531509195,0.12435051656891094,65.21222691378179,1.4958124427894015e-05,-0.010268401310156605,-0.6742542568635486,-291.83710505136156,-0.6742542568635486,-346.44326324579794,False
9,9,4597.05709802662,266.4579363394437,1.2825045584445243,-147.97894153327664,1.2825216109981463,-147.97069103487772,1.705255362205449e-05,0.008250498398922446,-1.1581710944292354,213.1829179486595,-1.1581710944292354,120.24581210365331,False
10,10,4435.6800882995285,238.6237283394437,3.256933558444535,-24.712904050474954,3.2569551865980495,-24.794261406653334,2.1628153514363646e-05,-0.0813573561783798,-1.9744335755999032,-123.17642962822438,-1.9744335755999032,-276.0921270670005,False
11,11,4299.910242047209,270.04277533944366,-6.071705441555532,274.285852068143,-6.072527006517418,280.0894446772775,-0.000821564961885457,5.803592609134512,9.329482193115467,-304.88370608393086,9.329482193115467,401.5256915779564,False
12,12,3955.005668294659,176.19870433944368,5.307468558444513,26.55495925155763,5.307216367737113,9.956253784667808,-0.0002521907073997909,-16.59870546688982,-11.37974337425453,270.1331908926097,-11.37974337425453,-525.8808205324506,False
13,13,3917.910129833741,216.27774633944364,-7.820275441555519,-44.984518476238215,-7.819735851530964,-19.39744218980121,0.0005395900245552809,25.587076286437004,13.126952219268077,29.35369597446902,13.126952219268077,943.0229638626772,False
14,14,3518.9385419033815,205.82017033944373,-3.035445441555447,-25.848923176561083,-3.035381231406631,-26.804384699845798,6.421014881619058e-05,-0.9554615232847148,-4.784354620124333,7.406942510044587,-4.784354620124333,-287.11893615108784,False
