row,stage,HE_gt_deg,lat_gt_m,lat_corr_gt_m,HE_err_deg,lat_err_m,lat_corr_err_m,HE_rel,lat_rel,lat_corr_rel,seed_reloc
21,grid,361.2484985584445,2.116865623602407,-47.86480938340462,0.125,-9.1875,-14.193508661464485,0.00034602219939684233,-4.340143227591858,0.2965332745352072,False
21,LM,361.2484985584445,2.116865623602407,-47.86480938340462,0.125,-9.1875,-14.193508661464485,0.00034602219939684233,-4.340143227591858,0.2965332745352072,False
22,grid,357.8996145584445,16.77431782540574,80.50319995196988,-0.026116000000001804,1.8112977981966694,2.60442054780232,-7.297018196630971e-05,0.10798041488479175,0.032351764269695854,True
22,LM,357.8996145584445,16.77431782540574,80.50319995196988,-0.026116000000001804,1.8112977981966694,2.60442054780232,-7.297018196630971e-05,0.10798041488479175,0.032351764269695854,True
24,grid,361.93311055844447,-28.495670935158252,-73.05205527704939,-0.5596119999999587,15.51878655876066,28.423268027967154,-0.0015461752010931128,-0.5446015499713475,-0.3890823868017418,False
24,LM,361.93311055844447,-28.495670935158252,-73.05205527704939,-0.5596119999999587,15.51878655876066,28.423268027967154,-0.0015461752010931128,-0.5446015499713475,-0.3890823868017418,False
25,grid,360.30911555844455,68.65986301989663,61.712099332756395,1.2831329999999639,-50.699247396294226,-79.54815502939954,0.0035612004931133393,-0.738411717797956,-1.2890204010152004,False
25,LM,360.30911555844455,68.65986301989663,61.712099332756395,1.2831329999999639,-50.699247396294226,-79.54815502939954,0.0035612004931133393,-0.738411717797956,-1.2890204010152004,False
27,grid,364.1886395584445,45.65980843144796,-21.688054799052033,-0.07876146748867541,-2.848275646020106,-1.5774977356030533,-0.00021626558034366108,-0.06238036785231824,0.07273578705970461,True
27,LM,364.1886395584445,45.65980843144796,-21.688054799052033,-0.07876146748867541,-2.848275646020106,-1.5774977356030533,-0.00021626558034366108,-0.06238036785231824,0.07273578705970461,True
28,grid,351.75916455844447,-26.06403128162125,70.77224582433482,-0.6040306238797939,14.17659954423096,21.384547202110667,-0.001717170964509255,-0.5439143082301097,0.30216007635520953,True
28,LM,351.75916455844447,-26.06403128162125,70.77224582433482,-0.5959787443623554,14.17659954423096,21.288311493215105,-0.001694280645425328,-0.5439143082301097,0.30080028187964025,True
29,grid,358.67514255844446,11.78591956596462,19.811548532173774,0.07899208691583226,-1.2023083987912901,-1.6809768018235118,0.0002202329560737844,-0.10201226913709105,-0.08484832970495067,True
29,LM,358.67514255844446,11.78591956596462,19.811548532173774,0.07899208691583226,-1.2023083987912901,-1.6809768018235118,0.0002202329560737844,-0.10201226913709105,-0.08484832970495067,True
